summary,city,state,date_time,shape,duration,stats,report_link,text,posted,city_latitude,city_location,city_longitude
"White and some orange orbs in mountain valley and sky, Wasilla Alaska.",Wasilla,AK,2015-08-04T12:20:00,light,45 minutes +,"Occurred : 8/4/2015 12:20  (Entered as : 08/04/15 12:20) Reported: 8/4/2015 3:30:34 AM 03:30 Posted: 8/6/2015 Location: Wasilla, AK Shape: Light Duration:45 minutes +",http://www.nuforc.org/webreports/120/S120870.html,"White and some orange orbs in mountain valley and sky, Wasilla Alaska I was on the back porch of the Grand View Hotel in Wasilla, Alaska, that overlooks into the mountains and a valley.  I noticed that there was a light off in the valley, it looked as if it could have been a big bonfire but I am still not sure exactly what it was, as there were some orb like lights seen there too (perhaps headlights).   As I was looking I saw a big white orb light appear from nowhere, above the trees, in the valley.  It was white and slowly floated and flickered out.  I saw no lights that indicated drones of any sort that I know of.  I went inside and asked the front desk clerk what was out that way, and she told me it was a residential type area she believed, but it is mostly surrounded by wilderness.   I decided to be curious and sit and watch for awhile, went up to my room and got my long lens dslr camera just in case.  I sat out on the porch of the hotel for a good 30 minutes, or so, and got some great footage of these lights swirling about in the trees.  They would slowly become bright, and take a path, then die out a bit.  When they are in two's, they would fly at each other.   They are not lanterns as they seem to form in the sky.  Mostly they were white, and would come one at at a time, but I also caught an instance of a white orb and an orange orb together.  Some orbs seemed to form together.  They would blink, but they do not seem to be the type of blink that you see on military or drone craft.   Also it being so late and actually dark, I would figure a drone light would stay on, rather than just flicker in and out.  The ones I caught on camera were closer in the valley, while the first one i saw was certainly in the sky.   My footage is taken at night, but it would be easy to cross check it with daylight footage to pinpoint where the lights were.  I would love to figure out what they are.  To me they seem like mountain lights such as the Brown Mountain lights in North Carolina, where I come from.",2015-08-06T00:00:00,61.537579245282984,POINT(-149.5421037735848 61.537579245282984),-149.5421037735848
"Yellowish oval disk making erratic movements, spotted by airline pilot.",Sitka,AK,2015-07-04T23:15:00,oval,6 minutes,"Occurred : 7/4/2015 23:15  (Entered as : 07/04/15 23:15) Reported: 7/5/2015 2:12:35 AM 02:12 Posted: 7/6/2015 Location: Sitka, AK Shape: Oval Duration:6 minutes",http://www.nuforc.org/webreports/120/S120084.html,"Yellowish oval disk making erratic movements, spotted by airline pilot. Saw a light moving in an Easterly direction (towards town).  Light was moving very fast (faster than an airliner) and had no position (navigation) lights to indicate it was a civilian aircraft.  Just a solid yellow light.  The craft stopped  suddenly, started increasing in altitude (slowly), stopped, then made a lateral movement to the south (slowly), stopped, then the light went out.    There was enough daylight and we were able to obtain binoculars to make out the shape of the object.  After the light of the craft went out, the craft started a tumbling/twisting motion while descending directly towards the earth.   We suppose it took 2 minutes for the craft to descend until it was out of view.",2015-07-06T00:00:00,56.7353,POINT(-135.0092 56.7353),-135.0092
"Dark, quiet, large, slow moving, low flying object (about 2,000 ft. from the ground) seen N. bound into Huntsville, AL",Huntsville,AL,2015-07-20T22:15:00,chevron,2 minutes,"Occurred : 7/20/2015 22:15  (Entered as : 07/20/2015 22:15) Reported: 7/20/2015 9:39:08 PM 21:39 Posted: 7/23/2015 Location: Huntsville, AL Shape: Chevron Duration:2 minutes",http://www.nuforc.org/webreports/120/S120517.html,"Dark, quiet, large, slow moving, low flying object (about 2,000 ft. from the ground) seen N. bound into Huntsville, AL Dark, quiet, large, slow moving, V-shaped and low flying object (about 2,000 ft. from the ground) seen North bound into Huntsville, AL.  Dim light, possibly reflected light, appeared to be on the top of the craft as it approached, but underside was very dark.  City ground lights helped to illuminate the object against the dark night sky.  Object moved at a constant low speed.  About 3 minutes prior to sighting, a low flying helicopter had flown South bound near about the same flight path, but of an altitude of only about 900 feet from the ground.  This is what brought attention to observing the night sky while smoking a cigarette.  It was too dark to take a photograph or video of the object.",2015-07-23T00:00:00,34.727967771639705,POINT(-86.62783879681086 34.727967771639705),-86.62783879681086
Fireball in the sky.,Montgomery,AL,2015-07-11T21:15:00,fireball,9:25,"Occurred : 7/11/2015 21:15  (Entered as : 07/11/2015 9:15) Reported: 7/11/2015 9:29:12 PM 21:29 Posted: 7/17/2015 Location: Montgomery, AL Shape: Fireball Duration:9:25",http://www.nuforc.org/webreports/120/S120311.html,Fireball in the sky. Looking from a distance it appeared as an big  dark orange star.. then it started to move over in the direction in which I was driving.  It began to get lower which made it look bigger to revealed a deep orange red center with a light orange ragged outter side.  Then it proceeded to shoot upward in a zigzag motion until  it was no longer within my view..freaked me out..,2015-07-17T00:00:00,32.372222543949924,POINT(-86.2398247156157 32.372222543949924),-86.2398247156157
Two bright orange fireballs moving from north to south at a high rate of speed.,Elberta,AL,2015-07-03T21:00:00,fireball,1-2 minutes,"Occurred : 7/3/2015 21:00  (Entered as : 7/3/15 21:00) Reported: 7/4/2015 4:29:18 AM 04:29 Posted: 7/6/2015 Location: Elberta, AL Shape: Fireball Duration:1-2 minutes",http://www.nuforc.org/webreports/120/S120004.html,"two bright orange fireballs moving from north to south at a high rate of speed. I was sitting on my back patio, just like I do almost every evening, when i seen two fireballs come flying over top of my house.  one of the fire balls was in front of the other one, they were both very bright orange and moving at a high rate of speed.  they appeared to have a halo kind of glow around them, they were traveling from the south to the north.  i just read the other report and they said they saw it about 1:30 am near Huntsville, Alabama?  that is really weird because the 2 fireballs i seen were headed toward north alabama, but it wouldnt have taken the fireballs 4 and a half hous to get there at the rate of speed they were moving?i seen the two objects between 8:30 and 9:00 pm.  the two fireballs i seen just kind of faded into the sky or simply disapeared.when i first seen the ufos i yelled over to my next door neighbor who happened to be sitting on his back patio,he ran over to my back yard and i told him to look up as i pointed towards the fireballs,he stood t! here with his mouth wide open as him and i were gazing apon the two object.  WHAT ((deleted)) WAS THAT?  IT WAS BEAUTIFULL I MUST SAY.  i did manage to take a photo but the quality of the picture is very poor.",2015-07-06T00:00:00,30.407800000000005,POINT(-87.5553 30.407800000000005),-87.5553
Fireball moving across the sky for a good 2 minutes.,Fairhope,AL,2015-07-16T22:00:00,fireball,1-2 minutes,"Occurred : 7/16/2015 22:00  (Entered as : 07/16/2015 22:00) Reported: 7/17/2015 9:59:48 AM 09:59 Posted: 7/17/2015 Location: Fairhope, AL Shape: Fireball Duration:1-2 minutes",http://www.nuforc.org/webreports/120/S120448.html,"Fireball moving across the sky for a good 2 minutes. It came up from the south bout 10pm or looking in south direction and seemed to travel north east my two bubbies said it was a jet on fire or something I keep saying it was way too high to be a jet.   i first spotted it coming up from some trees across the road were we were standing in the middle of town it seemed to go straight up and then traveled north east till it disappeared.   It lasted bout 1 to 2 min no way it as a meteor nothing could of held a trajectory like that and stay light up like it was just skipping across our atmosphere.  It had to be a spacecraft or some kind of sub orbital experimental aircraft. ((NUFORC Note:  Witness indicates a city of ""Gairhope, AL.""  We suspect he intended ""Fairhope,"" and we have amended the name of the city above.  PD))",2015-07-17T00:00:00,30.480400000000024,POINT(-87.86632083333319 30.480400000000024),-87.86632083333319
"Object burning as it flew in a trajectory parallel to the ground, with flaming pieces.  ((NUFORC Note:  Satellite re-entry.  PD))",Huntsville,AL,2015-06-29T00:30:00,other,1 minute,"Occurred : 6/29/2015 00:30  (Entered as : 06/29/15 0:30) Reported: 6/28/2015 11:21:54 PM 23:21 Posted: 7/3/2015 Location: Huntsville (Owens Cross Roads), AL Shape: Other Duration:1 minute",http://www.nuforc.org/webreports/119/S119816.html,"Saw something burning as it flew in a trajectory parallel to the ground, with pieces flaming out behind it. My wife and I saw something burning and leaving burning parts behind it as it flew in a trajectory parallel to the ground.  We've seen meteors falling before, but this seemed to be flying much more slowly, closer to us, and very large.   We stopped the car near our home in Owens Cross Roads, AL.  The object or objects were in the sky to the east, moving right to left, south to north, at about 10 degrees up in the sky.   My wife got out with her i-Phone and tried to film it, but because it was so dark, the camera would not focus.   Towards the end of the trajectory, before the stream of fiery objects went behind trees in the distance, we saw one particularly big piece light up into a huge yellow flame.  We tried calling 911 but they were too focused on their script and were no help.   We called local police, but they just said they'd ""check into it.""  It would be good if other people reported seeing the same thing, and if we could determine what it was.  We really hope it was not an airplane. ((ADDENDUM FROM WITNESS)) We're near Huntsville in Northern Alabama, not far from the Tennessee border. Not sure whether someone in NC or Georgia could have seen what we saw...it would depend on the time.  If they said 1:30 am, then it was probably the same thing (0030 Alabama (CST) time + 1 = 0130 EST). ((END ADDENDUM))",2015-07-03T00:00:00,34.727967771639705,POINT(-86.62783879681086 34.727967771639705),-86.62783879681086
"A hovering triangular craft, 2 red lights (one blinking) and 1 white light.",Fayetteville,AR,2015-07-30T23:32:00,triangle,still there,"Occurred : 7/30/2015 23:32  (Entered as : 07/30/15 23:32) Reported: 7/30/2015 9:39:59 PM 21:39 Posted: 7/31/2015 Location: Fayetteville, AR Shape: Triangle Duration:still there",http://www.nuforc.org/webreports/120/S120756.html,"A hovering triangular craft, 2 red lights (one blinking) and 1 white light.",2015-07-31T00:00:00,36.047871851851895,POINT(-94.0445377777781 36.047871851851895),-94.0445377777781
"Spherical light in sky, moving at inhuman speed, brightens then disapears",Marion,AR,2015-07-11T21:50:00,circle,15 seconds,"Occurred : 7/11/2015 21:50  (Entered as : 07/11/15 21:50) Reported: 7/11/2015 8:13:24 PM 20:13 Posted: 7/17/2015 Location: Marion, AR Shape: Circle Duration:15 seconds",http://www.nuforc.org/webreports/120/S120320.html,"spherical light in sky, moving at inhuman speed, brightens then disapears I was sitting on my porch looking up at the stars, when I saw what I first thought was an airplane high in altitude.  I then realized it was closing the gap between 2 stars extremely fast, like no aircraft I've even seen.  All of the sudden it brightened and disappeared.  It was like someone was turning up a light bulb and then just turned it off.",2015-07-17T00:00:00,35.22790000000003,POINT(-90.18780000000004 35.22790000000003),-90.18780000000004
"All of a sudden sleepiness, appesnece of memory, as if it were summoning them.",Bono,AR,1982-05-07T20:00:00,unknown,,"Occurred : 5/7/1982 20:00  (Entered as : 5-7-82 20:00~) Reported: 12/26/2000 06:46 Posted: 3/21/2003 Location: Bono, AR Shape: Unknown Duration:",http://www.nuforc.org/webreports/015/S15667.html,"All of a sudden sleepiness, appesnece of memory, as if it were summoning them. I was not the one in countered, but the story was in my family, and I feel like I was there.  It was barely dark and My Mom and Grandma decided to go to leave my aunts house and go home.  The next thing they remember they were in their bed rooms running toward the living room at the sametime and bolting out the door, I guess because they heard a powerful humming. When they got there they looked up.  I have heard my my say...(wasn't wearing glasses) that it huvored above them with brillant lights and colors, but still could see a solid odject.  My grandma said it was Large and rusty brown in color with a doom shape on the bottom crome Also rust brown.  there were many lights.  it then made a brilliant U turn for the sky and left.  Other people near by commented on how loud the Jet Airplane was. ((NUFORC Note:  Date is approximate.  PD))",2001-01-03T00:00:00,35.9564,POINT(-90.7841 35.9564),-90.7841
